Date,Open,High,Low,Close,Adj Close,Volume
2024-02-07,7.810000,7.980000,7.710000,7.880000,7.880000,6254900
2024-02-08,7.900000,7.980000,7.370000,7.600000,7.600000,10186600
2024-02-09,7.610000,7.870000,7.570000,7.710000,7.710000,8920000
2024-02-12,7.770000,8.010000,7.630000,7.940000,7.940000,8965100
2024-02-13,7.830000,7.920000,7.600000,7.640000,7.640000,9043200
2024-02-14,7.620000,7.780000,7.550000,7.610000,7.610000,6178600
2024-02-15,7.610000,7.680000,7.480000,7.530000,7.530000,5152600
2024-02-16,7.520000,7.560000,7.390000,7.390000,7.390000,5610900
2024-02-20,7.300000,7.360000,6.660000,6.710000,6.710000,11158200
2024-02-21,6.480000,6.780000,6.420000,6.690000,6.690000,9549100
2024-02-22,6.740000,6.830000,6.470000,6.510000,6.510000,9281400
2024-02-23,6.400000,6.480000,6.310000,6.350000,6.350000,9316800
2024-02-26,6.280000,6.510000,6.240000,6.400000,6.400000,7741200
2024-02-27,6.500000,6.800000,6.460000,6.660000,6.660000,7836200
2024-02-28,6.610000,6.660000,6.300000,6.360000,6.360000,6338300
2024-02-29,6.480000,6.570000,6.330000,6.480000,6.480000,8637200
2024-03-01,6.500000,7.090000,6.480000,6.940000,6.940000,12364000
2024-03-04,7.100000,7.150000,6.700000,6.720000,6.720000,6797400
2024-03-05,6.680000,6.740000,6.500000,6.500000,6.500000,5542300
2024-03-06,6.550000,6.650000,6.430000,6.440000,6.440000,5728600
2024-03-07,6.490000,6.820000,6.450000,6.780000,6.780000,6501700
2024-03-08,6.850000,6.920000,6.350000,6.370000,6.370000,7312300
2024-03-11,6.400000,6.600000,6.260000,6.500000,6.500000,5725600
2024-03-12,6.500000,6.860000,6.500000,6.730000,6.730000,7183100
2024-03-13,6.750000,7.090000,6.440000,6.490000,6.490000,14600500
2024-03-14,6.510000,6.530000,6.070000,6.370000,6.370000,9934500
2024-03-15,6.440000,6.510000,6.230000,6.280000,6.280000,12702900
2024-03-18,6.350000,6.460000,6.210000,6.380000,6.380000,4446900
2024-03-19,6.330000,6.430000,6.180000,6.390000,6.390000,5589800
2024-03-20,6.350000,6.780000,6.250000,6.720000,6.720000,5953900
2024-03-21,6.770000,6.990000,6.760000,6.920000,6.920000,5851700
2024-03-22,6.920000,7.100000,6.920000,6.990000,6.990000,4429400
2024-03-25,7.050000,7.260000,6.810000,6.830000,6.830000,6276200
2024-03-26,6.840000,6.940000,6.710000,6.770000,6.770000,4430800
2024-03-27,6.830000,6.830000,6.610000,6.700000,6.700000,5041800
2024-03-28,6.740000,6.920000,6.690000,6.750000,6.750000,6242000
2024-04-01,6.830000,7.120000,6.810000,7.070000,7.070000,9100200
2024-04-02,7.010000,7.220000,6.890000,7.220000,7.220000,8338700
2024-04-03,7.250000,7.770000,7.250000,7.680000,7.680000,12817900
2024-04-04,7.730000,7.730000,7.140000,7.270000,7.270000,8726000
2024-04-05,7.340000,7.400000,7.160000,7.280000,7.280000,4978700
2024-04-08,7.310000,7.330000,6.970000,7.060000,7.060000,5149000
2024-04-09,7.100000,7.170000,6.820000,6.890000,6.890000,8449800
2024-04-10,6.740000,7.140000,6.740000,7.130000,7.130000,5765400
2024-04-11,7.180000,7.420000,6.930000,7.350000,7.350000,6565300
2024-04-12,7.450000,7.630000,7.130000,7.260000,7.260000,7048400
2024-04-15,7.250000,7.500000,7.070000,7.170000,7.170000,7184900
